Fault(1)—(FN/FR/LR/T)：  0/0.00/0.75/6
Fault(2)—(FN/FR/LR/T)：  0/0.00/1.75/14
Fault(3)—(FN/FR/LR/T)：  0/0.00/98.75/42
Fault(4)—(FN/FR/LR/T)：  0/0.00/30.12/0
Fault(5)—(FN/FR/LR/T)：  0/0.00/75.75/0
Fault(6)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(7)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(8)—(FN/FR/LR/T)：  0/0.00/2.88/22
Fault(9)—(FN/FR/LR/T)：  4/2.50/99.25/5
Fault(10)—(FN/FR/LR/T)：  0/0.00/64.00/26
Fault(11)—(FN/FR/LR/T)：  0/0.00/45.00/6
Fault(12)—(FN/FR/LR/T)：  0/0.00/1.38/2
Fault(13)—(FN/FR/LR/T)：  0/0.00/5.75/46
Fault(14)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(15)—(FN/FR/LR/T)：  0/0.00/97.62/626
Fault(16)—(FN/FR/LR/T)：  6/3.75/82.88/200
Fault(17)—(FN/FR/LR/T)：  0/0.00/12.62/24
Fault(18)—(FN/FR/LR/T)：  0/0.00/10.62/60
Fault(19)—(FN/FR/LR/T)：  0/0.00/97.88/10
Fault(20)—(FN/FR/LR/T)：  0/0.00/57.75/85
Fault(21)—(FN/FR/LR/T)：  0/0.00/69.38/488
