故障模式(1)—(FN/FR/LR/T)：  1/0.62/0.25/2
故障模式(2)—(FN/FR/LR/T)：  1/0.62/1.50/12
故障模式(3)—(FN/FR/LR/T)：  2/1.25/97.88/42
故障模式(4)—(FN/FR/LR/T)：  1/0.62/0.00/0
故障模式(5)—(FN/FR/LR/T)：  1/0.62/0.00/0
故障模式(6)—(FN/FR/LR/T)：  0/0.00/0.00/0
故障模式(7)—(FN/FR/LR/T)：  0/0.00/0.00/0
故障模式(8)—(FN/FR/LR/T)：  0/0.00/2.12/17
故障模式(9)—(FN/FR/LR/T)：  1/0.62/97.50/6
故障模式(10)—(FN/FR/LR/T)：  0/0.00/12.38/21
故障模式(11)—(FN/FR/LR/T)：  0/0.00/26.38/5
故障模式(12)—(FN/FR/LR/T)：  2/1.25/0.12/1
故障模式(13)—(FN/FR/LR/T)：  0/0.00/4.62/37
故障模式(14)—(FN/FR/LR/T)：  0/0.00/0.00/0
故障模式(15)—(FN/FR/LR/T)：  4/2.50/95.62/237
故障模式(16)—(FN/FR/LR/T)：  3/1.88/9.00/6
故障模式(17)—(FN/FR/LR/T)：  0/0.00/3.75/19
故障模式(18)—(FN/FR/LR/T)：  1/0.62/9.50/60
故障模式(19)—(FN/FR/LR/T)：  0/0.00/11.50/1
故障模式(20)—(FN/FR/LR/T)：  2/1.25/9.38/64
故障模式(21)—(FN/FR/LR/T)：  5/3.12/47.75/250
