Fault(1)—(FN/FR/LR/T)：  0/0.00/0.75/6
Fault(2)—(FN/FR/LR/T)：  0/0.00/1.50/12
Fault(3)—(FN/FR/LR/T)：  0/0.00/99.50/42
Fault(4)—(FN/FR/LR/T)：  0/0.00/82.88/0
Fault(5)—(FN/FR/LR/T)：  0/0.00/77.00/0
Fault(6)—(FN/FR/LR/T)：  0/0.00/1.25/10
Fault(7)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(8)—(FN/FR/LR/T)：  0/0.00/2.88/22
Fault(9)—(FN/FR/LR/T)：  0/0.00/99.50/0
Fault(10)—(FN/FR/LR/T)：  0/0.00/80.12/54
Fault(11)—(FN/FR/LR/T)：  0/0.00/60.12/6
Fault(12)—(FN/FR/LR/T)：  0/0.00/1.88/2
Fault(13)—(FN/FR/LR/T)：  0/0.00/5.75/38
Fault(14)—(FN/FR/LR/T)：  0/0.00/2.38/0
Fault(15)—(FN/FR/LR/T)：  0/0.00/99.62/580
Fault(16)—(FN/FR/LR/T)：  1/0.62/93.38/290
Fault(17)—(FN/FR/LR/T)：  0/0.00/25.50/28
Fault(18)—(FN/FR/LR/T)：  0/0.00/11.12/60
Fault(19)—(FN/FR/LR/T)：  0/0.00/97.38/77
Fault(20)—(FN/FR/LR/T)：  0/0.00/76.12/86
Fault(21)—(FN/FR/LR/T)：  0/0.00/62.00/285
