Fault(1)—(FN/FR/LR/T)：  0/0.00/0.25/2
Fault(2)—(FN/FR/LR/T)：  0/0.00/1.50/12
Fault(3)—(FN/FR/LR/T)：  0/0.00/99.12/42
Fault(4)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(5)—(FN/FR/LR/T)：  0/0.00/74.75/0
Fault(6)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(7)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(8)—(FN/FR/LR/T)：  0/0.00/2.12/17
Fault(9)—(FN/FR/LR/T)：  0/0.00/98.75/4
Fault(10)—(FN/FR/LR/T)：  0/0.00/58.50/44
Fault(11)—(FN/FR/LR/T)：  0/0.00/28.12/6
Fault(12)—(FN/FR/LR/T)：  0/0.00/1.12/2
Fault(13)—(FN/FR/LR/T)：  0/0.00/4.50/36
Fault(14)—(FN/FR/LR/T)：  0/0.00/0.00/0
Fault(15)—(FN/FR/LR/T)：  2/1.25/99.25/461
Fault(16)—(FN/FR/LR/T)：  2/1.25/75.25/37
Fault(17)—(FN/FR/LR/T)：  0/0.00/4.38/19
Fault(18)—(FN/FR/LR/T)：  0/0.00/9.75/60
Fault(19)—(FN/FR/LR/T)：  0/0.00/44.88/1
Fault(20)—(FN/FR/LR/T)：  2/1.25/41.75/78
Fault(21)—(FN/FR/LR/T)：  2/1.25/53.50/250
