Fault(1)—(FP/FPR/FN/T)：  0/0.00/0.75/6
Fault(2)—(FP/FPR/FN/T)：  0/0.00/1.75/14
Fault(3)—(FP/FPR/FN/T)：  0/0.00/98.75/42
Fault(4)—(FP/FPR/FN/T)：  0/0.00/30.75/0
Fault(5)—(FP/FPR/FN/T)：  0/0.00/75.75/0
Fault(6)—(FP/FPR/FN/T)：  0/0.00/0.00/0
Fault(7)—(FP/FPR/FN/T)：  0/0.00/0.00/0
Fault(8)—(FP/FPR/FN/T)：  0/0.00/2.88/22
Fault(9)—(FP/FPR/FN/T)：  5/3.12/99.12/5
Fault(10)—(FP/FPR/FN/T)：  0/0.00/63.75/26
Fault(11)—(FP/FPR/FN/T)：  0/0.00/45.12/6
Fault(12)—(FP/FPR/FN/T)：  0/0.00/1.38/2
Fault(13)—(FP/FPR/FN/T)：  0/0.00/5.75/46
Fault(14)—(FP/FPR/FN/T)：  0/0.00/0.00/0
Fault(15)—(FP/FPR/FN/T)：  0/0.00/97.62/626
Fault(16)—(FP/FPR/FN/T)：  6/3.75/82.88/200
Fault(17)—(FP/FPR/FN/T)：  0/0.00/12.62/24
Fault(18)—(FP/FPR/FN/T)：  0/0.00/10.62/60
Fault(19)—(FP/FPR/FN/T)：  0/0.00/97.88/10
Fault(20)—(FP/FPR/FN/T)：  0/0.00/57.75/85
Fault(21)—(FP/FPR/FN/T)：  0/0.00/69.38/488
